mechanism,severity,beam_cm,target_class,distance_crack_cm,distance_wear_cm,crack_mask,wear_mask,FC_Hz,FRMS_Hz,FRVF_Hz,m0,m1,m2,a1,a2,a3,a4,a5,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,file_path,folder_all,all_index,segment_id,t0,t1
crack,slight,10.0,1,1.5,0.0,1,0,9.623471803839001,25.288595859364012,23.38593318597653,0.009177851758331051,0.08832279761611307,5.869356250693618,0.02360542635246702,0.017389976195704666,0.01257078959351975,0.01097574202456033,0.008684381586597708,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0016\F0016CH1.CSV,ALL0016,16,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,43.244487738760654,53.476315850394556,31.45839533643347,0.0022440015087041363,0.09704069572891644,6.417207819419419,0.024314292611777744,0.019484383524741886,0.01256070791980027,0.012482917745453029,0.01001196552980391,55.20000000000608,55.60000000000612,56.00000000000617,54.80000000000604,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0016\F0016CH1.CSV,ALL0016,16,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,26.824006658592815,43.082004338329504,33.71248677549033,0.00322238235545711,0.08643720575931352,5.980932087461634,0.023718917280559103,0.017441741574129477,0.013360315954089496,0.011110491653259974,0.007905630503581295,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0017\F0017CH1.CSV,ALL0017,17,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,12.018484799457427,28.727315168203845,26.092425335689388,0.006170098688787351,0.07415523730234298,5.091927232665466,0.02266963528777075,0.014451460403379926,0.014117522587049614,0.00931277761964431,0.00582201744696294,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0017\F0017CH1.CSV,ALL0017,17,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,24.68159099986718,41.46527632835685,33.31948689134133,0.003429680732607854,0.08464997710235189,5.8968872150836,0.023727447575252407,0.01767707085137191,0.013150620742273715,0.010433743945841494,0.007264884330279189,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0018\F0018CH1.CSV,ALL0018,18,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,12.989344064388598,30.362560055418854,27.443797002161514,0.005872207282105212,0.07627612080467285,5.413500122188853,0.02244424178858727,0.01606645952318723,0.012379351631593627,0.00975927793433246,0.006661470680615655,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0018\F0018CH1.CSV,ALL0018,18,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,15.749859557052485,32.752895705852694,28.717487721797433,0.005324282192608304,0.08385669677569625,5.711635313713626,0.024029678522401576,0.01724667522455914,0.013535426000208942,0.00951850013723862,0.00697748376033932,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0019\F0019CH1.CSV,ALL0019,19,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,21.28547804162969,37.94772641236302,31.4158935000559,0.0037974919431968575,0.08083143137018238,5.468502094609292,0.024062128574237503,0.01604625470507401,0.015018526095149124,0.008849380334805639,0.006367345470117895,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0019\F0019CH1.CSV,ALL0019,19,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,21.930855601939673,39.053626244391886,32.31444406768475,0.00347401576833923,0.07618813817430915,5.298519250780405,0.02360038780800443,0.01584784676167344,0.014027841700246142,0.008400955029078696,0.005861956493318982,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0020\F0020CH1.CSV,ALL0020,20,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,15.975341967339547,32.85150887857418,28.70557584556697,0.0059542858988281995,0.09512175340508822,6.425994166557658,0.025169622450614732,0.0182649010207709,0.01529620661123692,0.009701637132252652,0.007859714308515049,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0020\F0020CH1.CSV,ALL0020,20,2,2.5,4.998
