experiment,seed,epochs_trained,test_accuracy,test_macro_f1,test_mae_crack,test_mae_wear,description,apply_yeo_johnson,apply_winsorization,baseline_test_accuracy,baseline_test_macro_f1,baseline_test_mae_crack,baseline_test_mae_wear,delta_test_accuracy,delta_test_macro_f1,delta_test_mae_crack,delta_test_mae_wear
P1_no_winsorization,16,253,0.9680555555555556,0.9678910231973344,0.10902714729309082,0.151759535074234,Yeo-Johnson without winsorization,True,False,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,0.012499999999999956,0.012774256525498351,-0.005513273179531097,-0.008562758564949036
P1_no_winsorization,42,338,0.9694444444444444,0.9692238916474837,0.11032601445913315,0.1821458488702774,Yeo-Johnson without winsorization,True,False,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,0.00694444444444442,0.007177967511620809,-0.009653143584728241,-0.009481623768806458
P1_no_winsorization,123,342,0.9652777777777778,0.9650897860792984,0.12954537570476532,0.1600104421377182,Yeo-Johnson without winsorization,True,False,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,0.001388888888888884,0.0013887863030562775,0.009510651230812073,-0.023823976516723633
P1_no_winsorization,145,400,0.9680555555555556,0.9678230113916971,0.1003299206495285,0.14256183803081512,Yeo-Johnson without winsorization,True,False,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,0.004166666666666652,0.004249770549196397,-0.01016947627067566,-0.016500011086463928
P1_no_winsorization,152,373,0.9680555555555556,0.967938153151363,0.10705992579460144,0.1627797931432724,Yeo-Johnson without winsorization,True,False,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,-0.002777777777777768,-0.0026807205216901053,-0.013046123087406158,0.011571317911148071
P1_no_winsorization,521,279,0.9694444444444444,0.9693152708186795,0.1273164451122284,0.16577516496181488,Yeo-Johnson without winsorization,True,False,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,0.004166666666666652,0.004359844715848493,0.00428830087184906,0.006413653492927551
P1_no_winsorization,1102,400,0.9736111111111111,0.973506135596296,0.10735246539115906,0.16904281079769135,Yeo-Johnson without winsorization,True,False,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,-0.002777777777777768,-0.002683293472514947,-0.013535737991333008,-0.0028727203607559204
P1_no_winsorization,2111,395,0.975,0.974854498636969,0.10851015895605087,0.14550167322158813,Yeo-Johnson without winsorization,True,False,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,0.01388888888888884,0.014261150421089552,-0.016780726611614227,-0.01735934615135193
P1_no_winsorization,27182,400,0.9638888888888889,0.9637155144548125,0.11738003045320511,0.15741001069545746,Yeo-Johnson without winsorization,True,False,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,0.0,-4.816947391339532e-05,-0.004351437091827393,-0.0025295913219451904
P1_no_winsorization,31415,327,0.9638888888888889,0.9637245121491796,0.13056854903697968,0.16783304512500763,Yeo-Johnson without winsorization,True,False,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,-0.002777777777777768,-0.002700666802385565,0.0013400614261627197,-0.01160237193107605
